y : um
-5.000000000000000104e-03
-4.499999999999999660e-03
-4.000000000000000083e-03
-3.500000000000000073e-03
-3.000000000000000062e-03
-2.500000000000000052e-03
2.500000000000000052e-03
3.000000000000000062e-03
3.500000000000000073e-03
4.000000000000000083e-03
4.499999999999999660e-03
5.000000000000000104e-03
