x : um
-0.80000000000000000e-02
-0.53009627413693871e-02
-0.30000000000000009e-02
-0.14631090632183153e-02
-0.68784744467721617e-03
-0.29677833053334086e-03
-0.99509372055721530e-04
+0.00000000000000000e+00
+0.10000000000000000e-03
+0.30000000000000000e-03
+0.70000000000000000e-03
+0.15000000000000000e-02
+0.31000000000000000e-02
+0.59211142170066729e-02
+0.89211142170066739e-02
+0.11921114217006675e-01
+0.14921114217006676e-01
+0.17921114217006678e-01
+0.20921114217006678e-01
+0.23921114217006677e-01
+0.26921114217006679e-01
+0.29921114217006679e-01
+0.32921114217006685e-01
+0.35921114217006681e-01
+0.38921114217006683e-01
+0.42329649398397173e-01
+0.46466219854604404e-01
+0.51002144397397732e-01
+0.56102511466794090e-01
+0.62005657450250086e-01
+0.69317707006538359e-01
+0.78735611921472770e-01
+0.88355802707495684e-01
+0.97975993493518612e-01
+0.10759618427954154e+00
+0.11721637506556447e+00
+0.12683656585158740e+00
+0.13645675663761031e+00
+0.14607694742363325e+00
+0.15569713820965617e+00
+0.16531732899567908e+00
+0.17493751978170202e+00
+0.18455771056772496e+00
+0.19417790135374788e+00
+0.20379809213977082e+00
+0.21341828292579373e+00
+0.22303847371181665e+00
+0.23265866449783959e+00
+0.24227885528386250e+00
+0.25189904606988545e+00
+0.26151923685590839e+00
+0.27113942764193127e+00
+0.28075961842795422e+00
+0.29037980921397710e+00
+0.30000000000000000e+00
