dcon : 1/cm^3,          acon : 1/cm^3
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
8.0000000000000000E+19, 3.3000000000000000E+17
7.9999999979520000E+19, 3.3000000000000000E+17
7.9999998341120020E+19, 3.3000000000000000E+17
7.9999950827535110E+19, 3.3000000000000000E+17
7.9998963206718440E+19, 3.3000000000000000E+17
7.9981088525546490E+19, 3.3000000000000000E+17
7.9748660590017770E+19, 3.3000000000000000E+17
7.8713262165008910E+19, 3.3000000000000000E+17
7.5968944557420890E+19, 3.3000000000000000E+17
7.0466082591790740E+19, 3.3000000000000000E+17
6.1434294975382450E+19, 3.3000000000000000E+17
4.8988921186656620E+19, 3.3000000000000000E+17
3.4597867012588800E+19, 3.3000000000000000E+17
2.0850290224692380E+19, 3.3000000000000000E+17
1.0279494651145880E+19, 3.3000000000000000E+17
3.9550550210522760E+18, 3.3000000000000000E+17
1.1272423449800510E+18, 3.3000000000000000E+17
2.2478515625975250E+17, 3.3000000000000010E+17
2.1558887652135190E+16, 3.3000000000000010E+17
5.2502527907794340E+14, 3.3000000000000010E+17
2.4005781754292550E+12, 3.3000000000000010E+17
7.7424159273505210E+08, 3.3000000000000010E+17
2.9429793357849120E+03, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
8.0000000000000000E+19, 3.3000000000000000E+17
7.9999999979520000E+19, 3.3000000000000000E+17
7.9999998341120020E+19, 3.3000000000000000E+17
7.9999950827535110E+19, 3.3000000000000000E+17
7.9998963206718440E+19, 3.3000000000000000E+17
7.9981088525546490E+19, 3.3000000000000000E+17
7.9748660590017770E+19, 3.3000000000000000E+17
7.8713262165008910E+19, 3.3000000000000000E+17
7.5968944557420890E+19, 3.3000000000000000E+17
7.0466082591790740E+19, 3.3000000000000000E+17
6.1434294975382450E+19, 3.3000000000000000E+17
4.8988921186656620E+19, 3.3000000000000000E+17
3.4597867012588800E+19, 3.3000000000000000E+17
2.0850290224692380E+19, 3.3000000000000000E+17
1.0279494651145880E+19, 3.3000000000000000E+17
3.9550550210522760E+18, 3.3000000000000000E+17
1.1272423449800510E+18, 3.3000000000000000E+17
2.2478515625975250E+17, 3.3000000000000010E+17
2.1558887652135190E+16, 3.3000000000000010E+17
5.2502527907794340E+14, 3.3000000000000010E+17
2.4005781754292550E+12, 3.3000000000000010E+17
7.7424159273505210E+08, 3.3000000000000010E+17
2.9429793357849120E+03, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 3.3000000000000010E+17
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
0.0000000000000000E+00, 0.0000000000000000E+00
8.0000000000000000E+19, 3.3000000000000000E+17
7.9999999979520000E+19, 3.3000000000000000E+17
